formula,chemsys,spg_number,spg_symbol,Total Energy(eV),Bulk Modulus(GPa),Shear Modulus(GPa),Youngs Modulus(GPa),Poisson Ratio,Bulk/Shear Ratio,nsites,DeltaE/atom,Volume/atom,a,b,c,alpha,beta,gamma,volume,density,density_atomic
MgZn3,Mg-Zn,139,I4/mmm,-4.976409,56.309,7.621,21.867,0.435,8.243,4,-0.05178,16.5125,4.856434,4.856434,4.856434,129.822264,129.822264,73.691065,65.92053134,5.555204031,16.48013283
MgZn3,Mg-Zn,44,Imm2,-4.907249,55.897,24.449,62.782,0.313,1.613,4,-0.03449,16.58,5.482298,5.482298,5.482298,149.088951,127.526804,62.15389,66.50335608,5.506519115,16.62583902
MgZn5,Mg-Zn,12,C2/m,-28.867524,64.237,28.591,74.583,0.307,2.536,24,-0.036512333,16.24375,9.864584,9.864584,8.852438,67.945038,67.945038,29.615283,392.2764341,5.949176145,16.34485142
MgZn5,Mg-Zn,189,P-62m,-7.224717,62.173,15.295,42.403,0.386,4.223,6,-0.037818333,15.89333333,4.851071,4.851071,4.435802,90,90,119.999983,90.40202986,6.453731204,15.06700498
MgZn5,Mg-Zn,38,Amm2,-7.129284,60.244,30.201,77.628,0.285,2.027,6,-0.021912833,16.02333333,7.314455,7.314455,4.486245,90,90,157.711709,91.0315789,6.409098997,15.17192982
MgZr2,Mg-Zr,166,R-3m,-18.450151,67.951,39.601,99.477,0.256,1.723,3,-0.012674333,23.45666667,7.997397,7.997397,7.997397,23.323228,23.323228,23.323239,70.39466636,4.877094408,23.46488879
Nd2Mg,Mg-Nd,63,Cmcm,-22.23645,36.086,19.106,48.52,0.276,2.303,6,-0.1338225,31.74,3.863834,9.006254,5.616075,90,90,77.613309,190.88271,5.442068108,31.81378499
Nd2Mg,Mg-Nd,12,C2/m,-22.204687,35.531,16.785,42.714,0.3,3.487,6,-0.128528667,31.67666667,6.935912,6.935912,7.755982,74.130423,74.130423,32.147062,190.3244501,5.458030787,31.72074169
Nd2Mg,Mg-Nd,139,I4/mmm,-11.098589,35.365,14.489,36.853,0.326,5.889,3,-0.127277167,31.69,6.957826,6.957826,6.957826,147.803983,147.803983,46.174811,95.29407811,5.450478817,31.7646927
Nd5Mg41,Mg-Nd,87,I4/m,-88.151593,38.695,24.915,61.53,0.235,1.602,46,-0.139977984,24.385,11.630954,11.630954,11.630954,101.650526,101.650526,126.592277,1128.557374,2.527415024,24.53385596
NdMg,Mg-Nd,221,Pm-3m,-6.443086,38.715,26.909,65.401,0.218,1.633,2,-0.185725625,29.575,3.891475,3.891475,3.891475,90,90,90,58.93084394,4.749276599,29.46542197
NdMg12,Mg-Nd,139,I4/mmm,-23.289628,38.242,29.751,70.868,0.191,1.317,13,-0.117412404,24.08846154,5.896082,7.812611,7.812611,81.765844,67.830742,67.830745,308.6358297,2.345263351,23.74121767
NdMg2,Mg-Nd,227,Fd-3m,-16.100243,39.26,23.963,59.695,0.247,1.76,6,-0.183991583,27.19333333,6.127192,6.127191,6.127191,59.999997,60.000005,59.999993,162.6557077,3.937621183,27.10928462
NdMg3,Mg-Nd,225,Fm-3m,-9.740583,39.551,29.34,70.481,0.203,1.48,4,-0.203981063,25.435,5.224884,5.224884,5.224885,60.000013,60.000013,60.000016,100.8591239,3.575260902,25.21478096
Pm2Mg,Mg-Pm,63,Cmcm,-22.1247,37.054,19.748,50.057,0.275,2.338,6,-0.233468333,31.06833333,8.93029,8.93029,5.569792,90,90,155.199007,186.323979,5.602239003,31.05399651
Pm2Mg,Mg-Pm,139,I4/mmm,-11.052421,37.036,15.075,38.437,0.327,5.8,3,-0.230158667,30.99333333,3.83142,3.83142,6.904907,106.095503,106.095484,90.041866,93.24052864,5.59752008,31.08017621
Pm2Mg,Mg-Pm,12,C2/m,-22.082513,36.866,17.097,43.538,0.303,3.679,6,-0.226437167,31.00166667,6.94522,6.94522,7.644358,74.079678,74.079678,31.833721,186.4111544,5.599619111,31.06852573
PmMg,Mg-Pm,221,Pm-3m,-6.410812,40.27,29.938,71.824,0.203,1.521,2,-0.25829175,29.005,3.869312,3.869312,3.869312,90,90,90,57.92971324,4.853080586,28.96485662
PmMg2,Mg-Pm,227,Fd-3m,-15.999483,40.146,23.349,58.617,0.257,1.874,6,-0.226333667,26.88166667,6.107678,6.107678,6.107678,60,60,60,161.1065983,3.991108647,26.85109971
PmMg3,Mg-Pm,225,Fm-3m,-9.675377,40.108,28.33,68.667,0.215,1.589,4,-0.232031125,25.2025,5.204863,5.204863,5.204863,119.863017,119.863017,90.237426,99.90957079,3.621838907,24.9773927
PmMg3,Mg-Pm,194,P6_3/mmc,-19.175832,38.334,15.085,39.999,0.326,2.667,8,-0.210165875,25.985,6.785525,6.785525,5.179075,90,90,120.000043,206.5140223,3.504424219,25.81425279
Pr2Mg,Mg-Pr,63,Cmcm,-22.310451,34.922,18.618,47.262,0.274,2.247,6,-0.099990167,32.5,9.055402,9.055402,5.665839,90,90,155.097303,195.6333049,5.196709399,32.60555082
Pr2Mg,Mg-Pr,12,C2/m,-22.286924,34.475,16.892,42.953,0.292,3.093,6,-0.096069,32.425,6.941882,6.941882,7.821099,73.638167,73.638167,32.718118,194.7377265,5.220608522,32.45628775
Pr2Mg,Mg-Pr,139,I4/mmm,-11.140736,34.154,13.665,34.723,0.331,6.569,3,-0.095160333,32.43,6.946971,6.946971,6.946971,147.304241,147.304241,46.913515,97.46457248,5.215481937,32.48819083
Pr5Mg41,Mg-Pr,87,I4/m,-88.504899,38.486,24.807,61.251,0.235,1.599,46,-0.140131511,24.515,11.661405,11.661405,11.661405,101.64926,101.64926,126.595365,1137.414348,2.483394706,24.72639887
PrMg,Mg-Pr,221,Pm-3m,-6.46566,37.441,24.559,60.34,0.231,1.723,2,-0.16238825,30.19,3.918471,3.918471,3.918471,90,90,90,60.16582935,4.559765278,30.08291468
PrMg12,Mg-Pr,139,I4/mmm,-23.387423,38.153,31.155,73.458,0.179,1.257,13,-0.119608269,24.17461538,5.905394,7.817801,7.817801,81.784483,67.866849,67.866842,309.6929359,2.319379613,23.82253353
PrMg2,Mg-Pr,227,Fd-3m,-16.182292,38.498,24.691,60.999,0.236,1.65,6,-0.1745835,27.53166667,6.152419,6.152419,6.152419,59.999944,59.999944,59.999946,164.6729069,3.822140115,27.44548448
PrMg3,Mg-Pr,225,Fm-3m,-9.78609,39.406,29.766,71.267,0.199,1.435,4,-0.198045625,25.7225,5.243365,5.243366,5.243363,59.999996,59.999994,59.999994,101.9330796,3.483274174,25.4832699
Sm2Mg,Mg-Sm,63,Cmcm,-21.985573,39.012,18.917,48.262,0.294,3.024,6,-0.13231,30.53833333,3.800367,8.909169,5.541431,90,90,77.685121,183.3052432,5.888720919,30.55087387
Sm2Mg,Mg-Sm,139,I4/mmm,-10.967235,38.216,16.613,42.413,0.315,4.442,3,-0.123792833,30.47333333,3.778094,3.778094,6.959482,105.738137,105.738137,90.040855,91.73470374,5.883451825,30.57823458
Sm2Mg,Mg-Sm,12,C2/m,-21.913412,37.887,17.507,44.637,0.304,3.65,6,-0.120283167,30.49333333,6.913874,6.913874,7.59297,74.140397,74.140397,31.752691,183.1356864,5.89417301,30.52261441
Sm5Mg41,Mg-Sm,87,I4/m,-87.274561,39.015,24.106,59.956,0.244,1.683,46,-0.127482777,24.17782609,11.591919,11.591919,11.591919,101.50073,101.50073,126.958697,1113.687966,2.606770335,24.21060797
SmMg,Mg-Sm,221,Pm-3m,-6.364847,42.288,32.356,77.18,0.196,1.474,2,-0.176831375,28.58,3.85263,3.85263,3.85263,90,90,90,57.18366378,5.072043952,28.59183189
SmMg2,Mg-Sm,227,Fd-3m,-15.879689,40.738,22.861,57.702,0.264,1.975,6,-0.16738275,26.65166667,6.086668,6.086668,6.086667,60,60.000002,60.000006,159.4497175,4.144221304,26.57495292
SmMg3,Mg-Sm,225,Fm-3m,-9.604651,39.729,26.866,65.585,0.225,1.715,4,-0.185110688,25,5.197181,5.197181,5.197182,60.000003,60.000003,60.000006,99.26328363,3.735085588,24.81582091
SmMg3,Mg-Sm,194,P6_3/mmc,-19.051154,38.868,15.273,40.503,0.326,2.668,8,-0.165342188,25.77125,6.76044,6.760442,5.18103,90,90,120.000003,205.0674612,3.615950165,25.63343265
Sr2Mg,Mg-Sr,140,I4/mcm,-9.686063,17.232,6.314,16.878,0.337,2.831,6,-0.1072475,43.99833333,7.100533,7.100533,7.100533,104.51284,104.51284,119.921042,268.6001429,2.467253104,44.76669048
Sr2Mg,Mg-Sr,63,Cmcm,-19.466922,16.902,7.596,19.652,0.306,3.058,12,-0.115147167,42.1,14.79963,5.932112,5.926059,90,90,90,520.2668453,2.547556286,43.35557044
Sr2Mg,Mg-Sr,71,Immm,-4.88078,16.602,10.921,26.846,0.23,1.651,3,-0.119830333,42.26666667,7.976366,7.976366,7.976366,150.729305,148.979024,43.172413,127.5345513,2.598137246,42.51151711
Sr2Mg,Mg-Sr,139,I4/mmm,-4.879767,16.514,9.804,24.516,0.253,1.884,3,-0.119492667,42.24666667,7.842174,7.842174,7.842174,148.659001,148.659001,44.913482,130.0722896,2.547447032,43.35742986
Sr2Mg,Mg-Sr,63,Cmcm,-9.758063,16.189,7.66,19.76,0.297,2.63,6,-0.1192475,42.14,7.544475,7.544475,6.096819,90,90,132.306178,256.6456205,2.582177459,42.77427008
Sr2Mg,Mg-Sr,12,C2/m,-9.782587,15.778,10.454,25.668,0.229,1.63,6,-0.123334833,42.775,8.020972,8.020972,8.329723,75.123194,75.123194,30.150271,259.4775653,2.553995507,43.24626089
Sr2Mg17,Mg-Sr,194,P6_3/mmc,-59.516969,32.308,18.103,45.761,0.264,1.811,38,-0.127000184,25.86815789,10.466108,10.466108,10.271073,90,90,120.000002,974.3541971,2.005641692,25.64089992
Sr6Mg23,Mg-Sr,225,Fm-3m,-46.603412,28.162,8.133,22.113,0.369,4.825,29,-0.155493276,28.44586207,10.509098,10.509097,10.509097,59.999858,59.999856,59.999859,820.6913755,2.194789538,28.2997026
Sr9Mg38,Mg-Sr,194,P6_3/mmc,-149.902002,28.391,16.532,41.534,0.256,1.719,94,-0.145043585,28.26180851,10.518165,10.518165,27.900247,90,90,120.000004,2673.120847,2.127195392,28.43745582
SrMg,Mg-Sr,12,C2/m,-6.364847,19.865,10.4,26.508,0.278,2.193,4,-0.1042615,36.4825,6.88509,6.88509,6.13897,69.429471,69.429471,32.937325,147.2276002,2.524741758,36.80690004
SrMg,Mg-Sr,51,Pmma,-6.480482,19.832,17.755,38.999,0.17,0.729,4,-0.13317025,36.25,4.009475,5.981249,6.116758,90,90,90,146.6900616,2.53399355,36.67251541
SrMg,Mg-Sr,221,Pm-3m,-3.251503,19.367,10.989,27.689,0.262,1.95,2,-0.13880125,36.29,4.190318,4.190318,4.190318,90,90,90,73.57681458,2.526010892,36.78840729
SrMg2,Mg-Sr,194,P6_3/mmc,-19.649475,26.342,11.164,29.344,0.314,2.436,12,-0.170652083,31.2225,6.50677,6.506771,10.233342,90,90,120.000075,375.2137592,2.411587864,31.26781327
SrMg2,Mg-Sr,227,Fd-3m,-9.874209,26.276,17.682,43.321,0.225,1.531,6,-0.178897333,31.22333333,6.427257,6.427257,6.427257,60,60,60,187.7422669,2.409848786,31.29037782
SrMg2,Mg-Sr,166,R-3m,-9.87414,26.176,17.586,43.099,0.226,1.533,6,-0.178885833,31.22333333,6.510998,6.510998,6.510998,58.454352,58.454352,58.454354,188.2737758,2.40304563,31.37896263
SrMg4,Mg-Sr,194,P6_3/mmc,-140.402862,25.817,13.426,34.327,0.278,1.933,90,-0.1093445,29.21211111,10.463221,10.463221,27.916522,90,90,120.000004,2646.809521,2.087348067,29.40899468
SrMg5,Mg-Sr,191,P6/mmm,-9.409192,28.671,5.275,14.658,0.417,12.976,6,-0.121540583,27.90166667,5.029066,6.188019,6.188019,59.999864,90,90,166.7710475,2.082456447,27.79517458
Tb2Mg,Mg-Tb,139,I4/mmm,-10.783654,42.5,22.813,57.457,0.275,2.595,3,-0.102227,28.84333333,3.683692,3.683691,6.989956,105.277791,105.277774,89.999991,88.01911932,6.454994223,29.33970644
Tb3Mg,Mg-Tb,123,P4/mmm,-15.328171,40.004,22.873,57.28,0.262,2.228,4,-0.081491875,29.6825,3.617982,3.617982,9.167219,90,90,90,119.9969938,6.934045868,29.99924845
Tb5Mg24,Mg-Tb,217,I-43m,-60.350522,39.279,16.862,44.252,0.312,2.33,29,-0.120278672,24.68551724,9.729693,9.729704,9.729705,109.471265,109.471221,109.471218,709.0491258,3.227046373,24.44996986
TbMg,Mg-Tb,221,Pm-3m,-6.257647,43.305,30.553,74.002,0.215,1.637,2,-0.15295225,27.32,3.798866,3.798866,3.798866,90,90,90,54.82288285,5.549893375,27.41144143
TbMg2,Mg-Tb,194,P6_3/mmc,-31.186533,42.5,22.476,57.321,0.275,1.916,12,-0.139459583,25.99666667,6.050582,6.050582,9.797149,90,90,120.000001,310.6165523,4.437890432,25.88471269
TbMg3,Mg-Tb,225,Fm-3m,-9.424516,41.126,28.067,68.373,0.223,1.717,4,-0.154937375,24.4825,5.154504,5.154505,5.154503,60.000003,59.999999,60.000003,96.83796479,3.975506499,24.2094912
TbMg3,Mg-Tb,194,P6_3/mmc,-18.749224,40.437,14.521,38.889,0.34,2.987,8,-0.142461375,25.1075,6.676717,6.676717,5.167979,90,90,120.000041,199.5157608,3.859143325,24.93947011
Th6Mg23,Mg-Th,225,Fm-3m,-79.448871,45.502,33.233,80.177,0.206,1.388,29,-0.084643966,25.16034483,10.096001,10.096001,10.096001,59.999823,59.999825,59.999819,727.6649322,4.452757972,25.09189422
ThMg2,Mg-Th,227,Fd-3m,-20.927904,52.115,28.667,72.675,0.268,1.819,6,-0.082286,26.10333333,6.047898,6.047897,6.047897,59.999992,59.999994,59.999997,156.4221118,5.958582994,26.07035197
ThMg2,Mg-Th,194,P6_3/mmc,-83.40598,50.196,14.768,40.335,0.366,3.616,24,-0.069551167,26.08541667,6.080803,6.080802,19.470329,90,90,120.000078,623.4841904,5.97964888,25.97850793
Tm2Mg,Mg-Tm,63,Cmcm,-21.208185,44.496,77.333,129.8,0.013,0.341,6,-0.082435833,27.635,3.632039,8.65608,5.363986,89.999802,89.999825,77.876353,164.8783156,7.295114709,27.47971927
Tm3Mg,Mg-Tm,123,P4/mmm,-15.004512,41.252,25.876,64.113,0.241,1.771,4,-0.045647625,28.465,3.51996,3.51996,9.203789,90,90,90,114.0360379,7.733739124,28.50900949
Tm5Mg24,Mg-Tm,217,I-43m,-59.508565,40.362,15.139,40.368,0.333,2.726,29,-0.101606707,24.21482759,9.660269,9.660269,9.660274,109.471235,109.471235,109.471206,693.9783505,3.416871612,23.93028795
TmMg,Mg-Tm,221,Pm-3m,-6.107003,43.275,20.074,51.487,0.302,3.23,2,-0.10767725,26.43,3.74697,3.74697,3.74697,90,90,90,52.60666909,6.099630769,26.30333454
TmMg2,Mg-Tm,194,P6_3/mmc,-30.573169,44.252,21.573,55.629,0.29,2.23,12,-0.10837725,25.29333333,5.964411,5.964411,9.734988,90,90,119.999795,299.9176888,4.817864006,24.99314073
TmMg2,Mg-Tm,191,P6/mmm,-7.651465,40.279,18.588,47.762,0.303,3.192,3,-0.1111015,25.36666667,3.275763,5.165739,5.165971,119.998493,90.029245,90,75.70666163,4.771583526,25.23555388
TmMg3,Mg-Tm,221,Pm-3m,-9.16888,42.145,21.084,52.779,0.291,3.725,4,-0.106051875,24.7025,4.608128,4.608128,4.608128,90,90,90,97.85289168,4.104120528,24.46322292
TmMg3,Mg-Tm,225,Fm-3m,-9.189483,41.79,30.844,74.129,0.204,1.516,4,-0.111202625,24.105,5.119909,5.119909,5.119909,60,60,60,94.90119011,4.23177055,23.72529753
TmMg3,Mg-Tm,194,P6_3/mmc,-18.312384,41.448,9.573,26.612,0.393,5.238,8,-0.102879875,24.56625,6.606121,6.606126,5.140334,90,90,120.000013,194.2742795,4.13436161,24.28428493
Y2Mg,Mg-Y,63,Cmcm,-29.075647,41.077,23.359,58.763,0.262,2.037,6,-0.0858525,28.96166667,6.916888,6.916888,5.235766,90,90,135.508145,175.5499321,3.823671959,29.25832202
Y2Mg,Mg-Y,63,Cmcm,-58.149085,40.753,22.325,56.528,0.269,2.075,12,-0.085668417,28.96166667,12.804092,5.23723,5.235766,90,90,90,351.0998642,3.823671959,29.25832202
Y4Mg25,Mg-Y,160,R3m,-64.694515,38.693,14.5,38.622,0.334,3.001,29,-0.114627828,24.32965517,9.733975,9.733975,9.733976,109.508493,109.508493,109.508491,709.0030469,2.256001023,24.44838093
Y5Mg24,Mg-Y,217,I-43m,-69.965261,39.722,16.798,44.166,0.315,2.406,29,-0.12395131,24.60137931,9.730933,9.730943,9.730943,109.471265,109.471223,109.471221,709.3200078,2.406225421,24.45931061
YMg2,Mg-Y,227,Fd-3m,-19.430392,43.142,12.263,32.622,0.374,8.958,6,-0.145098333,25.875,6.0402,6.0402,6.0402,59.999936,59.999936,59.999936,155.8254612,2.930848906,25.97091019
YMg2,Mg-Y,194,P6_3/mmc,-38.858067,43.083,21.545,55.389,0.286,2.087,12,-0.144871917,25.92,6.047982,6.047978,9.849544,90,90,120.000023,312.0091283,2.927484108,26.0007607
YMg3,Mg-Y,225,Fm-3m,-11.311272,41.033,26.691,65.476,0.234,1.886,4,-0.15121475,24.38,5.161572,5.161572,5.161572,60,60,60,97.23687077,2.763456301,24.30921769
YMg3,Mg-Y,123,P4/mmm,-11.275724,40.392,16.799,42.691,0.324,5.651,4,-0.14232775,25.335,4.88666,4.88666,4.21986,90,90,90,100.7679283,2.666620697,25.19198208
